Current Job Title	3
Senior Mgr Accounting, Cloud Security	4
Benefits Specialist, Member Sv	3
Director, Business Operations	4
Director, Claims	4
Director, Fin Plan & Analysis	4
Director, Pharmacy Services	4
Director, Accred, Rpts, Aud & Train	4
Manager, Accounting	4
Supervisor, Claims	4
CEO & President	5
President & COO	5
01L1ST	2
01L2ST	3
0233.Generation Dispatcher.2522	2
0274.Transmission Dispatcher.2522	2
02L1LB	2
02L2AE	3
02L2LB	3
02L5GT	3
0339.Transmission Dispatcher.2522	2
0349.Lead Transmission Dispatcher.2522	4
03L1LB	2
03L1SO	2
03L2LB	3
04L1OP	2
04L1RB	2
04L1SO	2
04L1TC	2
04L2OP	3
04L2RB	3
04L2TC	4
04L3WL	2
05L1OP	2
05L1TC	2
05L2LF	3
05L2ME	3
05L2ML	3
05L2OP	3
05L2TC	4
05L4EL	3
05L4GT	3
06L1CA	2
06L1ME	2
06L1OP	2
06L1SH	2
06L1SV	2
06L1TC	2
06L1TR	2
06L1WH	2
06L2OP	3
06L2SP	3
06L4SP	3
07L1CA	2
07L1IW	2
07L1ME	2
07L1OP	2
07L1PA	2
07L1PM	2
07L1WL	2
07L2ME	3
07L2ML	3
07L2OP	3
07L2WL	3
0847.Systems Engineer.2452	3
08L1EL	2
08L1ME	2
08L1RO	2
08L1TR	2
08L1VO	2
08L2EL	3
08L2ME	3
08L2ML	3
08L2RO	2
08L2VO	3
VP Product Mgmt	5
09L1CR	2
09L1EL	2
09L1RO	2
09L1WF	2
09L2DP	3
09L2RO	2
09L2VO	3
09L2WF	3
VP Mfg Production	5
10L1CR	2
10L1MF	2
10L1RO	2
10L1WL	2
10L2CR	3
10L2EL	3
10L2MF	3
SVP Services	5
SVP Business Ops	3
VP Operations	5
11L2DP	3
11L2EL	3
11L2MM	3
11L2TP	3
11L2WL	3
Senior Mgr Production Ctrl	4
1222.Lead Market Operator.2522	4
1225.Lead Market Operator.2522	4
1259.Manager Market Settlement Design Config.2555	4
1289.Senior Power Systems Engineering Specialist.2484	3
12L1SP	2
12L2CR	3
12L2SP	3
12L3SP	3
Mgr Materials	4
1408.Lead Transmission Dispatcher.2522	4
Mgr Supply Chain	4
1464.Corporate Rotation Trainee.2342	1
Senior Mgr Supply Chain	4
Dir Supply Chain	4
VP Global Supply Chain Operations	5
1491.Transmission Dispatcher.2522	2
1507.Transmission Dispatcher.2522	2
1562.Interchange Scheduler.2522	2
1652.Lead Forecast Model Analyst.2764	4
1692.Senior Market Monitoring Analyst.2124	3
VP Business Systems  Reporting	5
Dir Mfg Engr	4
1710.Lead Interchange Scheduler.2522	4
1711.Lead HRIS Analyst.2345	4
Dir Test Engr	4
Mgr Product Engr Mfg	4
SVP Product Dev	3
VP SW Dev	5
VP HW Dev	5
VP Engineering	5
Chief Architect Cloud Security	3
Head of Engr Cloud Security	4
VP Product Dev	5
Dir HW Engr	4
Senior Dir HW Engr	4
CSO-Chief Strategy Officer	5
Fellow	3
Mgr SW Engr Cloud Security	4
Mgr SW Dev Engr	4
Senior Mgr SW Dev Engr	4
CTO - Federal	3
Dir Security Cloud Security	4
